"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","28.1","%","19428","5469","29","27.3","23026"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","12","%","847","101","15.1","9.4","964"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","61.1","%","847","518","65.3","56.8","964"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","26.9","%","847","228","30.9","23.2","964"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","41.7","%","170","71","51.4","32.6","190"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","40.7","%","170","69","50.8","31.4","190"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","11.6","%","28995","3352","12.1","11.1","33679"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","64.4","%","28995","18664","65.1","63.6","33679"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","24.1","%","28995","6979","24.7","23.4","33679"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","15.6","%","1377","215","19.1","12.6","1193"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","51.9","%","1377","714","55.9","47.8","1193"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","32.5","%","1377","448","36.3","29","1193"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","19.7","%","374","74","29.6","12.5","316"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","56.3","%","374","211","64.5","47.8","316"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","24","%","374","90","30.8","18.3","316"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","47.1","%","149","70","57.3","37.1","156"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","40.4","%","149","60","50.8","30.7","156"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","8.9","%","476","42","13.4","5.9","380"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","70.3","%","476","334","76.7","62.9","380"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","20.8","%","476","99","28.2","15","380"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","11.3","%","23819","2682","11.8","10.8","28499"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","65.7","%","23819","15652","66.5","64.9","28499"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","23","%","23819","5485","23.7","22.4","28499"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","12","%","1729","208","14.5","9.9","1917"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","62.8","%","1729","1086","65.9","59.7","1917"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","25.1","%","1729","435","28","22.5","1917"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Fairly active","12.3","%","245","30","18.4","8","252"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically active","59.1","%","245","145","66.6","51.1","252"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South East","Region","All","16+","All","Physically inactive","28.6","%","245","70","36.1","22.2","252"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Fairly active","11","%","18127","1986","11.8","10.2","15906"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically active","65.7","%","18127","11905","66.9","64.5","15906"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically inactive","23.4","%","18127","4237","24.5","22.3","15906"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically active","52.5","%","277","145","62.5","42.3","178"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically inactive","38.3","%","277","106","49","28.7","178"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically active","67.7","%","89","60","79.9","52.5","73"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically active","46.8","%","88","41","63.3","31","58"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","South West","Region","All","16+","All","Physically active","70.2","%","198","139","80.2","57.8","139"
